original_user_id,block,condition
1000200296793038848,0_0_0,0
1000392181042032640,0_0_0,0
1000667816,0_0_0,0
1000771382479814656,0_0_0,0
1000921031782133632,0_0_0,0
100093474,0_0_0,0
1001130590442143616,0_0_0,0
1001290297064787968,0_0_0,0
1001404056089264000,0_0_0,0
1001573011059855232,0_0_0,0
1001843859289264000,0_0_0,0
1001888653419925632,0_0_0,0
1001987821664636800,0_0_0,0
1002221418866774016,0_0_0,0
1002281811454636032,0_0_0,0
1002533825333907456,0_0_0,0
100264833,0_0_0,0
1002917893,0_0_0,0
1003033812803170432,0_0_0,0
1003337663120924544,0_0_0,0
1003374494,0_0_0,0
1003629344571437056,0_0_0,0
1003776265801949184,0_0_0,0
1004144958809485184,0_0_0,0
1004215301750312832,0_0_0,0
100438903,0_0_0,0
100448471,0_0_0,0
1004790264,0_0_0,0
1004820100321554432,0_0_0,0
1004935822775373824,0_0_0,0
1005162711712493568,0_0_0,0
1005382572405350400,0_0_0,0
1005469680,0_0_0,0
1005633421,0_0_0,0
1005869738436845568,0_0_0,0
1005964042702348160,0_0_0,0
1006176408,0_0_0,0
1006340992838930432,0_0_0,0
100660910,0_0_0,0
1006707218098503552,0_0_0,0
1006917336,0_0_0,0
1006992857381474432,0_0_0,0
1007118050116718336,0_0_0,0
1007522110078574336,0_0_0,0
1007645071167119232,0_0_0,0
1007836172645818368,0_0_0,0
1008000368444354432,0_0_0,0
1008099535741247360,0_0_0,0
1008270303078694784,0_0_0,0
1008531370942041984,0_0_0,0
1008749923431526400,0_0_0,0
1008850296787881984,0_0_0,0
1009071937,0_0_0,0
100933631,0_0_0,0
1009540445632978816,0_0_0,0
1009565002792087552,0_0_0,0
1009813710221824000,0_0_0,0
1009876122883051648,0_0_0,0
1009935215463157632,0_0_0,0
101006140,0_0_0,0
1010273280,0_0_0,0
1010574929509511168,0_0_0,0
1010651888948215808,0_0_0,0
1011005066604679168,0_0_0,0
1011326576850595840,0_0_0,0
101138419,0_0_0,0
1011587251,0_0_0,0
1011754871798657024,0_0_0,0
101192713,0_0_0,0
1012358059,0_0_0,0
1012434559257005952,0_0_0,0
1012510436,0_0_0,0
1012672130,0_0_0,0
1012906197324877824,0_0_0,0
101309132,0_0_0,0
1013158158146076544,0_0_0,0
101339438,0_0_0,0
1013532889198182400,0_0_0,0
1013685108182638336,0_0_0,0
1013927323396202368,0_0_0,0
101398186,0_0_0,0
1014129776603402240,0_0_0,0
101430418,0_0_0,0
1014387404315258752,0_0_0,0
1014574196104589184,0_0_0,0
1014650419346370432,0_0_0,0
1014938567288606848,0_0_0,0
1015039981952196608,0_0_0,0
1015381315,0_0_0,0
101552412,0_0_0,0
1015612364060798848,0_0_0,0
1015772196004876160,0_0_0,0
101599402,0_0_0,0
1016105666656825216,0_0_0,0
1016190661249429632,0_0_0,0
1016379402,0_0_0,0
1016464596,0_0_0,0
1016657466,0_0_0,0
1016711195976519552,0_0_0,0
101690171,0_0_0,0
101702196,0_0_0,0
1017137793431109632,0_0_0,0
1017203317074735232,0_0_0,0
1017451116580175744,0_0_0,0
1017760918350860160,0_0_0,0
1017841385259532160,0_0_0,0
101804462,0_0_0,0
101812398,0_0_0,0
1018582993,0_0_0,0
1018669756260503552,0_0_0,0
1018782959640297344,0_0_0,0
1018907594264596352,0_0_0,0
1019053168188157952,0_0_0,0
101921937,0_0_0,0
1019390225540403200,0_0_0,0
1019433886198239232,0_0_0,0
10196792,0_0_0,0
1019808741426913152,0_0_0,0
1020017158829629440,0_0_0,0
1020332482149797760,0_0_0,0
1020434636219010944,0_0_0,0
1020492256015519616,0_0_0,0
1020610039801831424,0_0_0,0
1020751004,0_0_0,0
1020898520637820800,0_0_0,0
1021142292273516416,0_0_0,0
1021302785923534848,0_0_0,0
1021484264,0_0_0,0
1021685580214796160,0_0_0,0
1022011381502099456,0_0_0,0
1022215518839890048,0_0_0,0
1022522840543719424,0_0_0,0
102268896,0_0_0,0
1022896273811283968,0_0_0,0
1023036745049415552,0_0_0,0
102319508,0_0_0,0
1023388220,0_0_0,0
1023607579,0_0_0,0
102400003,0_0_0,0
1024121700533854208,0_0_0,0
1024289799052701568,0_0_0,0
1024521415,0_0_0,0
1024695303067377664,0_0_0,0
1024883582618066816,0_0_0,0
1025001225589334016,0_0_0,0
1025351164865523584,0_0_0,0
1025457863777386368,0_0_0,0
1025526524957487232,0_0_0,0
102556355,0_0_0,0
102564127,0_0_0,0
1025905009081430016,0_0_0,0
1025982573665648640,0_0_0,0
1026172061931196416,0_0_0,0
1026205820541906816,0_0_0,0
1026524002586689536,0_0_0,0
1026555680,0_0_0,0
1026847304592973824,0_0_0,0
1026982740611149824,0_0_0,0
1027161346092277632,0_0_0,0
1027420273006599936,0_0_0,0
1027480448782532608,0_0_0,0
1027596829834272768,0_0_0,0
102782650,0_0_0,0
1028021770681569152,0_0_0,0
10283452,0_0_0,0
1028433592874160000,0_0_0,0
1028612300062830336,0_0_0,0
1028784035923808256,0_0_0,0
102898416,0_0_0,0
102933803,0_0_0,0
1029496110,0_0_0,0
1029910771432660736,0_0_0,0
1030090665097617408,0_0_0,0
1030176302786130048,0_0_0,0
1030220810865336448,0_0_0,0
1030581959305703424,0_0_0,0
1030618644848541568,0_0_0,0
103082998,0_0_0,0
1030961457037549568,0_0_0,0
1031268878125547648,0_0_0,0
1031329848315273216,0_0_0,0
1031363000748396416,0_0_0,0
1031694062259236864,0_0_0,0
1031940888883330944,0_0_0,0
1032079351792258944,0_0_0,0
1032275004791173248,0_0_0,0
1032614941185007616,0_0_0,0
1032799618839404416,0_0_0,0
1033,0_0_0,0
1033074732252446848,0_0_0,0
1033279772,0_0_0,0
1033493857,0_0_0,0
1033726632350162816,0_0_0,0
1033850325667594240,0_0_0,0
1034155775759769600,0_0_0,0
1034851733544022016,0_0_0,0
1035031590,0_0_0,0
1035158426,0_0_0,0
1035197059538677632,0_0_0,0
1035515274781450240,0_0_0,0
1035918121398361984,0_0_0,0
1036078696250000000,0_0_0,0
1036375944854888448,0_0_0,0
1036639799040401408,0_0_0,0
1036798728252874752,0_0_0,0
1036995898474151936,0_0_0,0
103712716,0_0_0,0
103734063,0_0_0,0
1037417626593415168,0_0_0,0
103748812,0_0_0,0
1037726245,0_0_0,0
1037944638265384832,0_0_0,0
