original_user_id,block,condition
100013844,0_0_0,1
1000222650,0_0_0,1
1000497133844336640,0_0_0,1
1000685491,0_0_0,1
1000771633919987584,0_0_0,1
100092407,0_0_0,1
1000964467373506432,0_0_0,1
1001136541,0_0_0,1
1001346252,0_0_0,1
1001488007126450048,0_0_0,1
1001672839030861824,0_0_0,1
1001869783791493248,0_0_0,1
1001898172111835136,0_0_0,1
1001988450172665856,0_0_0,1
1002226222879920000,0_0_0,1
1002391315915657216,0_0_0,1
1002537256383668224,0_0_0,1
100267647,0_0_0,1
1002977450899300352,0_0_0,1
1003064576223506432,0_0_0,1
1003343931504054144,0_0_0,1
1003571450593333248,0_0_0,1
1003691472120578048,0_0_0,1
1004007013372907648,0_0_0,1
1004164885092229248,0_0_0,1
100425933,0_0_0,1
1004390186736898048,0_0_0,1
1004577580974919552,0_0_0,1
1004791161536634752,0_0_0,1
1004865453376917632,0_0_0,1
1004993602907463552,0_0_0,1
1005215980698533760,0_0_0,1
100542626,0_0_0,1
1005486569774637056,0_0_0,1
100565083,0_0_0,1
1005945990367645568,0_0_0,1
1005975620172636032,0_0_0,1
1006180222281056256,0_0_0,1
1006558863292878848,0_0_0,1
100668484,0_0_0,1
1006723243812802432,0_0_0,1
100693091,0_0_0,1
1007018858828435456,0_0_0,1
1007322454765854848,0_0_0,1
1007563220,0_0_0,1
1007672627585044352,0_0_0,1
1007849475786854400,0_0_0,1
1008029446555697152,0_0_0,1
1008171488678068224,0_0_0,1
100834633,0_0_0,1
1008542562796343168,0_0_0,1
1008822992489496448,0_0_0,1
1008873383101173632,0_0_0,1
1009174345,0_0_0,1
1009514624247574400,0_0_0,1
1009544153594818432,0_0_0,1
1009643461241384832,0_0_0,1
1009823622,0_0_0,1
1009887663946641408,0_0_0,1
1009973980474892160,0_0_0,1
1010184273368961024,0_0_0,1
1010297414,0_0_0,1
1010635966716006400,0_0_0,1
1010886144790269952,0_0_0,1
1011124807,0_0_0,1
1011368817254195200,0_0_0,1
1011455848126787584,0_0_0,1
1011658598596763648,0_0_0,1
1011794168119734144,0_0_0,1
1012029319374425984,0_0_0,1
1012375105,0_0_0,1
1012460126735879936,0_0_0,1
1012551654703583232,0_0_0,1
1012712621416615936,0_0_0,1
1013058784497946624,0_0_0,1
1013115143507459968,0_0_0,1
1013370750504402816,0_0_0,1
1013444590970572800,0_0_0,1
1013555874051190784,0_0_0,1
1013837013156597632,0_0_0,1
1013976619675979648,0_0_0,1
1014054773648175232,0_0_0,1
1014144900512866432,0_0_0,1
1014350887949500416,0_0_0,1
1014398467232366336,0_0_0,1
1014579262639169536,0_0_0,1
1014735230,0_0_0,1
1015008784933163008,0_0_0,1
1015065945386057600,0_0_0,1
101541920,0_0_0,1
1015552729886941184,0_0_0,1
1015705173560356864,0_0_0,1
101585389,0_0_0,1
1016017080339005440,0_0_0,1
1016143772365795200,0_0_0,1
1016313506361171968,0_0_0,1
1016409643067887616,0_0_0,1
1016499653066526848,0_0_0,1
1016666466492518400,0_0_0,1
1016739039649652736,0_0_0,1
1016962440175616000,0_0_0,1
1017068296263237632,0_0_0,1
1017175378618667008,0_0_0,1
1017249922955898752,0_0_0,1
1017512252096892800,0_0_0,1
101780360,0_0_0,1
1017913543738450048,0_0_0,1
1018057694,0_0_0,1
1018348427615326208,0_0_0,1
1018612708449480832,0_0_0,1
1018730815,0_0_0,1
1018845916214841216,0_0_0,1
1019015676,0_0_0,1
101916067,0_0_0,1
1019281794275860352,0_0_0,1
101939948,0_0_0,1
101945207,0_0_0,1
1019740575690567552,0_0_0,1
101983780,0_0_0,1
1020163440,0_0_0,1
1020362748,0_0_0,1
1020480270166872064,0_0_0,1
1020562458,0_0_0,1
1020633885519081344,0_0_0,1
1020761375013048448,0_0_0,1
1020970260495650816,0_0_0,1
1021233470008414208,0_0_0,1
1021422158524841984,0_0_0,1
102152294,0_0_0,1
102175145,0_0_0,1
102215962,0_0_0,1
1022496818,0_0_0,1
102254565,0_0_0,1
102275892,0_0_0,1
1022923351,0_0_0,1
